date,discharge
01-01-2001,0.14
02-01-2001,0.32
03-01-2001,0.21
04-01-2001,0.52
05-01-2001,0.56
06-01-2001,0.92
07-01-2001,0.39
08-01-2001,0.33
09-01-2001,1.0
10-01-2001,0.7
11-01-2001,0.16
12-01-2001,0.12
13-01-2001,0.32
14-01-2001,0.26
15-01-2001,0.42
16-01-2001,0.82
17-01-2001,0.66
18-01-2001,0.48
19-01-2001,0.71
20-01-2001,0.43
21-01-2001,0.51
22-01-2001,0.74
23-01-2001,0.37
24-01-2001,0.39
25-01-2001,0.47
26-01-2001,0.4
27-01-2001,0.6
28-01-2001,0.85
29-01-2001,1.62
30-01-2001,0.99
31-01-2001,0.67
01-02-2001,0.54
02-02-2001,0.49
03-02-2001,0.24
04-02-2001,0.38
05-02-2001,0.59
06-02-2001,0.72
07-02-2001,0.26
08-02-2001,0.39
09-02-2001,0.07
10-02-2001,0.33
11-02-2001,0.46
12-02-2001,0.19
13-02-2001,0.24
14-02-2001,0.61
15-02-2001,0.44
16-02-2001,0.24
17-02-2001,0.52
18-02-2001,0.35
19-02-2001,0.94
20-02-2001,1.09
21-02-2001,0.66
22-02-2001,0.61
23-02-2001,0.35
24-02-2001,0.47
25-02-2001,0.41
26-02-2001,0.12
27-02-2001,0.05
28-02-2001,0.23
01-03-2001,0.32
02-03-2001,0.66
03-03-2001,0.13
04-03-2001,0.07
05-03-2001,0.25
06-03-2001,0.47
07-03-2001,0.68
08-03-2001,0.1
09-03-2001,0.14
10-03-2001,0.19
11-03-2001,0.27
12-03-2001,0.65
13-03-2001,0.26
14-03-2001,0.18
15-03-2001,0.22
16-03-2001,0.27
17-03-2001,0.17
18-03-2001,0.14
19-03-2001,0.24
20-03-2001,0.71
21-03-2001,0.51
22-03-2001,0.44
23-03-2001,0.58
24-03-2001,0.59
25-03-2001,0.49
26-03-2001,0.34
27-03-2001,0.21
28-03-2001,0.16
29-03-2001,0.22
30-03-2001,0.64
31-03-2001,0.76
01-04-2001,0.28
02-04-2001,0.19
03-04-2001,0.1
04-04-2001,0.21
05-04-2001,0.22
06-04-2001,0.1
